EpicID,PlayerName,MaterialsFarmed,BuildsPlaced,WoodFarmed,StoneFarmed,MetalFarmed,WoodBuilds,StoneBuilds,MetalBuilds,Eliminations,DamageDealt,DamageTaken,ShotsHit
C44B96120A4F4E29A3B1433041F65D97,"C44B96120A4F4E29A3B1433041F65D97",91402,2080,31568,33374,26460,230,815,1035,7,1761,1446,53
E359C301DD1D4708872BB847E44165E5,"E359C301DD1D4708872BB847E44165E5",4450,10,1584,1556,1310,0,0,10,0,100,486,6
6616FFAF95404A43B184AA8B185BE9E5,"6616FFAF95404A43B184AA8B185BE9E5",1755,0,579,668,508,0,0,0,0,361,566,16
B93B6988605A47AA814DAB0C14804BB8,"B93B6988605A47AA814DAB0C14804BB8",86971,1810,28172,29639,29160,360,540,910,0,0,405,0
F80029EA9BAD47DBAE207EC9FBFBCAB5,"F80029EA9BAD47DBAE207EC9FBFBCAB5",5637,395,2234,1563,1840,0,0,395,0,132,675,4
E57F4AB764AE49FB828D1A220EA0CC35,"E57F4AB764AE49FB828D1A220EA0CC35",93993,1795,32446,24969,36578,285,225,1285,7,1550,2010,47
FA9B9831DCE4497B9D9D506F067A9962,"FA9B9831DCE4497B9D9D506F067A9962",103766,4105,35706,35452,32608,520,785,2800,1,723,758,27
30297C25D8604A81BDB761BFC12ECC46,"30297C25D8604A81BDB761BFC12ECC46",0,0,0,0,0,0,0,0,0,0,209,0
24A7F8DEC21B4F889E0803B95367CC0D,"24A7F8DEC21B4F889E0803B95367CC0D",31458,455,9113,10680,11665,195,200,60,3,729,668,21
C94C915431DD471C8AEAA4345C9DBDA4,"C94C915431DD471C8AEAA4345C9DBDA4",0,0,0,0,0,0,0,0,0,203,606,8
CC79901477E948C79B94E68BD9DCEBAD,"CC79901477E948C79B94E68BD9DCEBAD",73042,1010,27474,27841,17727,90,460,460,6,1347,948,40
6250A496FDF647E4AAAFFC919AB8106C,"6250A496FDF647E4AAAFFC919AB8106C",0,0,0,0,0,0,0,0,0,424,298,18
A12CF83F246A46A6A4438665DC516DD1,"A12CF83F246A46A6A4438665DC516DD1",80992,1560,24982,34729,21281,330,265,965,7,966,992,29
8B4CE2B91E0E438591E022380E2ACEB6,"8B4CE2B91E0E438591E022380E2ACEB6",46679,950,15703,16124,14852,125,255,570,0,873,1279,26
1025C0090AB64E82B2BE0AEE66C500C9,"1025C0090AB64E82B2BE0AEE66C500C9",1023,50,311,403,309,0,35,15,3,998,594,32
EA4F6D5C13EF4E288914E2688A28886D,"EA4F6D5C13EF4E288914E2688A28886D",0,0,0,0,0,0,0,0,0,471,1003,16
46F9B617FE894C6A80E54CA2FC494BE2,"46F9B617FE894C6A80E54CA2FC494BE2",64572,1095,20389,23330,20853,340,275,480,0,40,523,2
F3A9B050E07C43AB9DB83C826FBFB01D,"F3A9B050E07C43AB9DB83C826FBFB01D",1749,0,767,324,658,0,0,0,0,155,469,5
A56EF11CCA804C1E9D2462C81EE0C081,"A56EF11CCA804C1E9D2462C81EE0C081",101847,1295,41836,33523,26488,115,655,525,0,1609,571,37
1ADCDAC4D46649219AC89A4FA1BCEA2A,"1ADCDAC4D46649219AC89A4FA1BCEA2A",1011,0,223,461,327,0,0,0,1,1184,525,39
E3D9EEC7635A48BDA3C2840F5A9D2B21,"E3D9EEC7635A48BDA3C2840F5A9D2B21",60585,1315,16380,25606,18599,585,210,520,0,963,1427,17
0BC19E2DE5884452AEF1C1D9D0445593,"0BC19E2DE5884452AEF1C1D9D0445593",69007,1780,21151,21662,26194,730,445,605,2,367,536,9
7D91DC52007C428E88C6D3E6E6E154E2,"7D91DC52007C428E88C6D3E6E6E154E2",52127,1255,15917,16226,19984,405,510,340,13,1969,1010,60
4AD6638A391F4F95ABEB0BEC28ECEF12,"4AD6638A391F4F95ABEB0BEC28ECEF12",115571,1305,31951,38247,45373,775,300,230,2,279,608,9
9DECBA4D3BA14B0A98B591D820B74B51,"9DECBA4D3BA14B0A98B591D820B74B51",90510,1110,27951,34212,28347,510,245,355,2,1485,827,42
4B99FBBEC885498E8C13B06D9CD69640,"4B99FBBEC885498E8C13B06D9CD69640",0,0,0,0,0,0,0,0,7,584,760,20
809882DCC2FF4CC897F8834786FADAD6,"809882DCC2FF4CC897F8834786FADAD6",78002,1225,23893,23851,30258,310,70,845,0,392,539,9
D59A7F5C8B784C61866E224381CA4EEF,"D59A7F5C8B784C61866E224381CA4EEF",61301,810,23035,18959,19307,385,325,100,1,695,380,15
848D3C6048E445C5896556F8C65E3049,"848D3C6048E445C5896556F8C65E3049",1096250,16095,333547,401714,360989,5200,5770,5125,0,43,133,1
ACA89821E3B844E9A0FA0339A65CDB49,"ACA89821E3B844E9A0FA0339A65CDB49",5946,45,1391,2198,2357,45,0,0,0,147,617,8
EEA0236BFBEE4CD2BC9B829374253336,"EEA0236BFBEE4CD2BC9B829374253336",6767,5,2156,2010,2601,0,5,0,1,150,188,9
6C100E418294452093F067437F13A48D,"6C100E418294452093F067437F13A48D",0,0,0,0,0,0,0,0,2,426,448,30
6D05E1B10CC44C80A1D20DC1A8A23D1D,"6D05E1B10CC44C80A1D20DC1A8A23D1D",69301,1005,23576,25456,20269,105,170,730,0,40,126,2
09C3409A1CD14B42AB575B81C4E1F808,"09C3409A1CD14B42AB575B81C4E1F808",628,0,250,213,165,0,0,0,9,803,301,31
0E9770904C034B64BBC10E60D8B1F39E,"0E9770904C034B64BBC10E60D8B1F39E",66655,4315,20402,19588,26665,355,3385,575,9,1405,817,40
B7C2A9C6E31E470992781E881B88B258,"B7C2A9C6E31E470992781E881B88B258",1227969,19205,421306,374232,432431,6305,6935,5965,0,0,313,0
4D1526F3EE5149FCAA6E4F05B014D03D,"4D1526F3EE5149FCAA6E4F05B014D03D",233929,2625,80287,79759,73883,870,905,850,1,992,649,20
3C74D2725D36472B8D32971A568F6DF3,"3C74D2725D36472B8D32971A568F6DF3",436450,4635,144494,153561,138395,1825,1550,1260,5,643,936,17
A5A611EC549C4FAE84A1286CA5EF96BC,"A5A611EC549C4FAE84A1286CA5EF96BC",141156,1375,43807,50637,46712,350,325,700,2,624,539,25
071AB82BB2CC4E87A8BE07FAC41CAFCE,"071AB82BB2CC4E87A8BE07FAC41CAFCE",294806,3715,101914,107381,85511,1760,775,1180,1,230,347,3
EA10DF65A7054D44A6E7813AC1B071B6,"EA10DF65A7054D44A6E7813AC1B071B6",0,0,0,0,0,0,0,0,0,149,310,13
43BE9DDF10FC4F6190821B848716F47D,"43BE9DDF10FC4F6190821B848716F47D",112399,1660,40257,37966,34176,315,395,950,2,940,1172,106
C29638202B334F72821F51F90F90ADCD,"C29638202B334F72821F51F90F90ADCD",85037,2635,29441,33751,21845,2065,335,235,0,0,102,0
6FAFAF63327D432193DF620291C5DD92,"6FAFAF63327D432193DF620291C5DD92",0,0,0,0,0,0,0,0,11,2289,942,80
904D3463B5FC4EEF902944890480C11F,"904D3463B5FC4EEF902944890480C11F",170170,1905,61821,53718,54631,330,315,1260,0,0,445,0
D365CBA03CD44464B1EF0E71203B486C,"D365CBA03CD44464B1EF0E71203B486C",82750,305,22502,30743,29505,170,135,0,4,1194,1147,61
3D346C4BE6A6465D8C602DF215416489,"3D346C4BE6A6465D8C602DF215416489",57471,905,19207,18777,19487,350,295,260,0,591,651,16
2C7564A90581479994029EC99AA1B08D,"2C7564A90581479994029EC99AA1B08D",84518,1405,33683,22643,28192,170,310,925,2,1143,621,25
5E349E1509004DA3B7B34B8B42B922A9,"5E349E1509004DA3B7B34B8B42B922A9",0,0,0,0,0,0,0,0,6,816,595,27
AAC6E3A966FF4EDCB149672E7FD930DF,"AAC6E3A966FF4EDCB149672E7FD930DF",0,0,0,0,0,0,0,0,4,978,206,21
41FCB1669DC545FA920899BE32C9D526,"41FCB1669DC545FA920899BE32C9D526",90292,1390,29545,30181,30566,230,275,885,3,1003,2279,31
BB35E524DA424A2CBDC80F1F23A16135,"BB35E524DA424A2CBDC80F1F23A16135",0,0,0,0,0,0,0,0,0,0,0,0
2F477CA28552410AAC8A78D9DF393FC7,"2F477CA28552410AAC8A78D9DF393FC7",0,0,0,0,0,0,0,0,0,0,0,0
AB0795A560C84BF0A075155536AA3602,"AB0795A560C84BF0A075155536AA3602",0,0,0,0,0,0,0,0,1,167,724,5
76D3CD42AAED4668B4D2BD6C4D56A3C3,"76D3CD42AAED4668B4D2BD6C4D56A3C3",72182,2435,26165,21008,25009,750,1480,205,5,1168,427,24
353E3F1FA8364548AC83BD9D9FBFDB48,"353E3F1FA8364548AC83BD9D9FBFDB48",33002,485,11024,13562,8416,315,130,40,0,132,616,2
D08993747FBF49DC96AD1488664146E2,"D08993747FBF49DC96AD1488664146E2",0,0,0,0,0,0,0,0,0,0,0,0
F59F1432C95A4D668502AB818FF65095,"F59F1432C95A4D668502AB818FF65095",54,0,0,0,54,0,0,0,0,0,0,0
64E57FDA373B40D49B5AC157EFCF223B,"64E57FDA373B40D49B5AC157EFCF223B",66097,165,23857,19690,22550,50,65,50,1,1145,1006,35
F2936C1BF4D74372828AF66630CB4ACA,"F2936C1BF4D74372828AF66630CB4ACA",365942,6500,148126,117772,100044,1940,2685,1875,2,546,835,13
65AEC032116E41ED8EE172E2048ABD79,"65AEC032116E41ED8EE172E2048ABD79",4181,50,501,1831,1849,50,0,0,0,0,0,0
3FD622ED5D994CBDB53329F202EF6875,"3FD622ED5D994CBDB53329F202EF6875",0,0,0,0,0,0,0,0,0,0,0,0
44F24501D2024AA38E7A242C816ABC9F,"44F24501D2024AA38E7A242C816ABC9F",0,0,0,0,0,0,0,0,0,0,0,0
374A306AB9AE448AA71A7D5447165D21,"374A306AB9AE448AA71A7D5447165D21",1988,0,476,720,792,0,0,0,0,0,0,0
CDA2B8C3F1094E788EF72A57AB5F6E0C,"CDA2B8C3F1094E788EF72A57AB5F6E0C",0,0,0,0,0,0,0,0,0,0,0,0
7E09A563CD2949E3A2D895F83A3AB0E6,"7E09A563CD2949E3A2D895F83A3AB0E6",728,0,42,333,353,0,0,0,0,0,0,0
7C1089444C9E466191934B256293813C,"7C1089444C9E466191934B256293813C",1514,50,336,577,601,50,0,0,0,0,0,0
BDD40D28EA85443DB8A21110E077F6B1,"BDD40D28EA85443DB8A21110E077F6B1",800,50,142,637,21,50,0,0,0,0,0,0
28651103E5864098923C8534F792F7EE,"28651103E5864098923C8534F792F7EE",0,0,0,0,0,0,0,0,0,0,0,0
E2ACECD95C964BFB8AB5632A52DCB566,"E2ACECD95C964BFB8AB5632A52DCB566",1464425,19575,480308,448966,535151,4850,7940,6785,0,0,0,0
3411E1283C094CDA91CDF0F4B6A74F64,"3411E1283C094CDA91CDF0F4B6A74F64",0,0,0,0,0,0,0,0,1,539,415,23
2A8E7EEB2C174C798B4EB90BBE3A708C,"2A8E7EEB2C174C798B4EB90BBE3A708C",0,0,0,0,0,0,0,0,3,1106,1471,43
B5487099D9F348E19E6479077A119260,"B5487099D9F348E19E6479077A119260",0,0,0,0,0,0,0,0,0,543,1450,18
D84E766E5A194004AF63E8B1E834FBDB,"D84E766E5A194004AF63E8B1E834FBDB",0,0,0,0,0,0,0,0,2,354,437,11
F1085EB0D08B4527B8E402A22DEE1600,"F1085EB0D08B4527B8E402A22DEE1600",0,0,0,0,0,0,0,0,1,234,629,9
8B5879853CE7457FA087346E777345FB,"8B5879853CE7457FA087346E777345FB",0,0,0,0,0,0,0,0,1,767,736,23
679E10AFC25442F983DBAFAA0C61FAA3,"679E10AFC25442F983DBAFAA0C61FAA3",0,0,0,0,0,0,0,0,2,575,565,20
3270991BFB854D08A14B4C50CE673565,"3270991BFB854D08A14B4C50CE673565",0,0,0,0,0,0,0,0,1,939,801,27
7EBFA23826B54AA6B20C4D2C41CCACDB,"7EBFA23826B54AA6B20C4D2C41CCACDB",0,0,0,0,0,0,0,0,2,1371,1277,41
6A5C7BF6301E4568858FF7F47053DAA2,"6A5C7BF6301E4568858FF7F47053DAA2",0,0,0,0,0,0,0,0,8,887,523,28
804013EFF8064AB89CF704C2056A697C,"804013EFF8064AB89CF704C2056A697C",0,0,0,0,0,0,0,0,0,268,398,12
48AC0AE258AC46DC9CE4013F10D38633,"48AC0AE258AC46DC9CE4013F10D38633",0,0,0,0,0,0,0,0,5,1186,653,35
3CD2A7DBDABB45E3A54E96D9BE1A32C2,"3CD2A7DBDABB45E3A54E96D9BE1A32C2",0,0,0,0,0,0,0,0,0,60,105,2
1AC5F11BA89C430F87418ECF50703AF9,"1AC5F11BA89C430F87418ECF50703AF9",0,0,0,0,0,0,0,0,4,1036,644,45
E969F04B142D4F1C82B7F53E3E8491AD,"E969F04B142D4F1C82B7F53E3E8491AD",0,0,0,0,0,0,0,0,0,431,848,12
E80EB04A5B8F44DDA787E5B6B27369CC,"E80EB04A5B8F44DDA787E5B6B27369CC",0,0,0,0,0,0,0,0,2,1370,1184,41
CC00272BD0C34C9F8708D51C09B1C768,"CC00272BD0C34C9F8708D51C09B1C768",0,0,0,0,0,0,0,0,5,1411,812,36
1665FC63E43C497DADCF74F81FE53D11,"1665FC63E43C497DADCF74F81FE53D11",0,0,0,0,0,0,0,0,0,0,108,0
0E86CCFBD66D4391A7F1BB0168C88D71,"0E86CCFBD66D4391A7F1BB0168C88D71",0,0,0,0,0,0,0,0,5,638,361,29
305BB487FB7B4F988367835314CB005E,"305BB487FB7B4F988367835314CB005E",0,0,0,0,0,0,0,0,0,769,656,25
CC90FA24CC924185AACB4C71825C747D,"CC90FA24CC924185AACB4C71825C747D",0,0,0,0,0,0,0,0,4,795,437,15
5D1A397367564A39BBDC370C3AF9B89C,"5D1A397367564A39BBDC370C3AF9B89C",0,0,0,0,0,0,0,0,0,54,191,2
AD54CEA3C894436B8BDF3723D9D78A9D,"AD54CEA3C894436B8BDF3723D9D78A9D",0,0,0,0,0,0,0,0,0,255,429,8
